name,zip,title,specialties,price
"Age Wise, LLC",97005,"Psychologist,PsyD,LP",  Depression   Anxiety   ChronicIllness  ,170.0
Jessilyn Barron,97005,"ClinicalSocialWork/Therapist,MSW,LCSW",  RelationshipIssues   Parenting   LifeTransitions  ,150.0
Luis D Capestany,97005,"LicensedProfessionalCounselor,LPC,CRC,MRC,CGG",  ADHD   Anxiety   MoodDisorders  ,200.0
Jen Shelton,97005,"LicensedProfessionalCounselor,MA,MS,LPC,NCC",  DissociativeDisorders   TraumaandPTSD   Depression  ,115.0
Frank D. Canepa,97005,"LPCIntern,LPC-I,MA",  Depression   Anxiety   Spirituality  ,80.0
Wanda Tucker,97005,"LicensedProfessionalCounselor,MA,LPC,LMT",  TraumaandPTSD   Depression   RelationshipIssues  ,120.0
Brittany Shannon Eide,97005,"LicensedProfessionalCounselor,LPC",  ChildorAdolescent   CopingSkills   RelationshipIssues  ,100.0
"Rosemarie Hemmings, PhD, LCSW",97005,"ClinicalSocialWork/Therapist,PhD,LCSW",  CopingSkills   SelfEsteem   Stress  ,110.0
Emily Wilson-Barnard,97005,"Marriage&FamilyTherapistIntern,MA",  RelationshipIssues   FamilyConflict   SexTherapy  ,120.0
Cherie Thompson,97005,"LicensedProfessionalCounselor,LPC",  Anxiety   Depression   SelfEsteem  ,150.0
Denise Hockley Counseling,97005,"Marriage&FamilyTherapist,LMFT",  Anxiety   AlcoholUse   Parenting  ,120.0
Maria Cristina Isaza-Chapman,97005,"LicensedProfessionalCounselor,MA,MFT,LPC",  RelationshipIssues   Anxiety   Depression  ,120.0
Christine Babinec,97005,"LicensedProfessionalCounselor,MA,LPC,NCC",  Anxiety   TraumaandPTSD   RelationshipIssues  ,100.0
"Rebecca L. Sauer, LCSW, LLC",97005,"ClinicalSocialWork/Therapist,MSW,LCSW",  Anxiety   Depression   TraumaandPTSD  ,180.0
"Bob Ross, LCSW, LLC",97005,"ClinicalSocialWork/Therapist,LCSW",  Anxiety   Addiction   ChronicPain  ,90.0
Gabriela Lule,97005,"ClinicalSocialWork/Therapist,LCSW",  TraumaandPTSD   Depression   Anxiety  ,65.0
Joshua M. Higginbotham,97005,"LicensedProfessionalCounselor,MA,LPC",  RelationshipIssues   Anxiety   LifeTransitions  ,150.0
Lori M. Severson,97005,"LicensedProfessionalCounselor,MS,LPC",  RelationshipIssues   LifeTransitions   Women'sIssues  ,110.0
Tiffany Looney,97005,"LicensedProfessionalCounselor,MS,LPC",  SexualAddiction   Autism   Asperger'sSyndrome  ,125.0
"Janiene Beauchene, Youth & Family Therapist",97005,"ClinicalSocialWork/Therapist,JD,LCSW",  FamilyConflict   TraumaandPTSD   RelationshipIssues  ,125.0
Joaquin Lopez,97005,"LPCIntern,MS,NCC",  Depression   Anxiety   Men'sIssues  ,125.0
Christina Tingley,97005,"ClinicalSocialWork/Therapist,LCSW",  Depression   Anxiety   FamilyConflict  ,75.0
Meghan Smith,97005,"LicensedProfessionalCounselor,NCC,LPC",  EatingDisorders  ,145.0
Rebekah Springs,97005,"Marriage&FamilyTherapist,MA,LMFT,RPT",  ChildorAdolescent   BehavioralIssues   Parenting  ,150.0
Melody Jackman,97005,"LicensedProfessionalCounselor,MA,LPC",  TraumaandPTSD   RelationshipIssues   Parenting  ,80.0
Mary Hacopian,97005,"Psychologist,PsyD",  ChildorAdolescent   MoodDisorders   FamilyConflict  ,150.0
Lena Monteverdi,97005,"LicensedProfessionalCounselor,LPC,LMHC,MA",  TraumaandPTSD   ChildorAdolescent   DomesticViolence  ,80.0
Michael J Kadera,97005,"LicensedProfessionalCounselor,MA,LPC",  Anxiety   Depression   RelationshipIssues  ,110.0
Wendy Esther,97005,"Drug&AlcoholCounselor,LPC,CADCI,CGACII",  Addiction   Anxiety   Depression  ,125.0
Kelly D Boeve,97005,"LicensedProfessionalCounselor,MA,LPC",  Grief   LifeTransitions   Anxiety  ,120.0
Camille Keith,97005,"LPCIntern,MS,NCC",  LifeTransitions   Anxiety   SelfEsteem  ,50.0
Dave Terletzky,97005,"Psychologist,PsyD",  RelationshipIssues   Grief   TraumaandPTSD  ,170.0
Sheila Spain,97005,"Marriage&FamilyTherapist,PhD,LMFT,RN",  TraumaandPTSD   MaritalandPremarital   RelationshipIssues  ,150.0
Susan Kelsay,97005,"Marriage&FamilyTherapist,LMFT",  RelationshipIssues   Grief   MaritalandPremarital  ,90.0
Tucker Hardy,97005,"ClinicalSocialWorkAssociate,MSW,CSWA", ,25.0
