name,zip,title,specialties,price
"Age Wise, LLC",97005.0,"Psychologist,PsyD,LP",  Depression   Anxiety   ChronicIllness  ,$170-$250
Jessilyn Barron,97005.0,"ClinicalSocialWork/Therapist,MSW,LCSW",  RelationshipIssues   Parenting   LifeTransitions  ,$150-$275
Luis D Capestany,97005.0,"LicensedProfessionalCounselor,LPC,CRC,MRC,CGG",  ADHD   Anxiety   MoodDisorders  ,$200+
Jen Shelton,97005.0,"LicensedProfessionalCounselor,MA,MS,LPC,NCC",  DissociativeDisorders   TraumaandPTSD   Depression  ,$115-$185
Frank D. Canepa,97005.0,"LPCIntern,LPC-I,MA",  Depression   Anxiety   Spirituality  ,$80+
Wanda Tucker,97005.0,"LicensedProfessionalCounselor,MA,LPC,LMT",  TraumaandPTSD   Depression   RelationshipIssues  ,$120-$150
Brittany Shannon Eide,97005.0,"LicensedProfessionalCounselor,LPC",  ChildorAdolescent   CopingSkills   RelationshipIssues  ,$100-$150
"Rosemarie Hemmings, PhD, LCSW",97005.0,"ClinicalSocialWork/Therapist,PhD,LCSW",  CopingSkills   SelfEsteem   Stress  ,$110-$185
Emily Wilson-Barnard,97005.0,"Marriage&FamilyTherapistIntern,MA",  RelationshipIssues   FamilyConflict   SexTherapy  ,$120-$160
Cherie Thompson,97005.0,"LicensedProfessionalCounselor,LPC",  Anxiety   Depression   SelfEsteem  ,$150-$200
Denise Hockley Counseling,97005.0,"Marriage&FamilyTherapist,LMFT",  Anxiety   AlcoholUse   Parenting  ,$120-$180
Maria Cristina Isaza-Chapman,97005.0,"LicensedProfessionalCounselor,MA,MFT,LPC",  RelationshipIssues   Anxiety   Depression  ,$120-$160
Christine Babinec,97005.0,"LicensedProfessionalCounselor,MA,LPC,NCC",  Anxiety   TraumaandPTSD   RelationshipIssues  ,$100-$250
"Rebecca L. Sauer, LCSW, LLC",97005.0,"ClinicalSocialWork/Therapist,MSW,LCSW",  Anxiety   Depression   TraumaandPTSD  ,$180-$200
"Bob Ross, LCSW, LLC",97005.0,"ClinicalSocialWork/Therapist,LCSW",  Anxiety   Addiction   ChronicPain  ,$90-$150
Gabriela Lule,97005.0,"ClinicalSocialWork/Therapist,LCSW",  TraumaandPTSD   Depression   Anxiety  ,$65-$110
Joshua M. Higginbotham,97005.0,"LicensedProfessionalCounselor,MA,LPC",  RelationshipIssues   Anxiety   LifeTransitions  ,$150-$175
Lori M. Severson,97005.0,"LicensedProfessionalCounselor,MS,LPC",  RelationshipIssues   LifeTransitions   Women'sIssues  ,$110-$125
